kana	romaji	english	kanji
な	na
に	ni
ぬ	nu
ね	ne
の	no
は	ha
ひ	hi
ふ	fu
へ	he
ほ	ho
なか	naka	inside	中
なに	nani	what?	何
はこ	hako	box	箱
ほし	hoshi	star	星
にく	niku	meat	肉
ねこ	neko	cat	猫
ふね	fune	boat	船
はい	hai	yes
ふく	fuku	clothes	服
ひこう	hikou	flight	飛行
ほね	hone	bone	骨
ない	nai	no (casual)	無い
におい	nioi	smell	匂い
ぬの	nuno	cloth	布
へい	hei	fence	塀
ひと	hito	person	人
ふし	fushi	joint	節
ねい	nei	roots	根い
はおと	haoto	rustling sound	葉音
のう	nou	brain	脳
いぬ	inu	dog	犬
ねつ	netsu	fever	熱
ふうせん	fuusen	balloon	風船
はた	hata	flag	旗
はし	hashi	bridge	橋
ほうせき	houseki	jewel	宝石
はな	hana	flower	花
たのしい	tanoshii	fun	楽しい
さかな	sakana	fish	魚
へた	heta	be bad at	下手
ほそい	hosoi	thin	細い
ふとい	futoi	thick	太い
