kana	romaji	english	kanji
ら	ra
り	ri
る	ru
れ	re
ろ	ro
わ	wa
を	wo
ん	n/m
らく	raku	comfort	楽
ろうそく	rousoku	candle	蝋燭
さくら	sakura	cherry blossom	桜
かわ	kawa	river	川
おさら	osara	plate	お皿
はる	haru	spring (season)	春
くるま	kuruma	car	車
しろ	shiro	white	白
とり	tori	bird	鳥
ほん	hon	book	本
かれ	kane	he/boyfriend	彼
ふるい	furui	old	古い
りす	risu	squirrel	栗鼠
あらう	arau	to wash	洗う
たろう	tarou	Taro (a common name)	太郎
きれい	kirei	beautiful/clean	綺麗
そら	sora	sky	空
のり	nori	edible seaweed	海苔
くろい	kuroi	black	黒い
うれしい	ureshii	happy	嬉しい
わたし	watashi	I/me	私
わらう	warau	to laugh	笑う
わすれる	wasureru	to forget	忘れる
おりる	oriru	get off	降りる
われる	wareru	to break	割れる
ひろい	hiroi	spacious	広い
こわい	kowai	scary	怖い
それな	sorena	bruh, same
