#,name,start,end,length
R0,あ,1.1.00,2.1.00,1.0.00
R1,い,2.1.00,3.1.00,1.0.00
R2,う,3.1.00,4.1.00,1.0.00
R3,え,4.1.00,5.1.00,1.0.00
R4,お,5.1.00,6.1.00,1.0.00
R5,か,6.1.00,7.1.00,1.0.00
R6,き,7.1.00,8.1.00,1.0.00
R7,く,8.1.00,9.1.00,1.0.00
R8,け,9.1.00,10.1.00,1.0.00
R9,こ,10.1.00,11.1.00,1.0.00
R10,あい,11.1.00,12.1.00,1.0.00
R11,いか,12.1.00,13.1.00,1.0.00
R12,あお,13.1.00,14.1.00,1.0.00
R13,おい,14.1.00,15.1.00,1.0.00
R14,かお,15.1.00,16.1.00,1.0.00
R15,ここ,16.1.00,17.1.00,1.0.00
R16,あう,17.1.00,18.1.00,1.0.00
R17,いけ,18.1.00,19.1.00,1.0.00
R18,うき,19.1.00,20.1.00,1.0.00
R19,おう,20.1.00,21.1.00,1.0.00
R20,かう,21.1.00,22.1.00,1.0.00
R21,いく,22.1.00,23.1.00,1.0.00
R22,きく,23.1.00,24.1.00,1.0.00
R23,うえ,24.1.00,25.1.00,1.0.00
R24,いえ,25.1.00,26.1.00,1.0.00
R25,かい,26.1.00,27.1.00,1.0.00
R26,けい,27.1.00,28.1.00,1.0.00
R27,いき,28.1.00,29.1.00,1.0.00
R28,おく,29.1.00,30.1.00,1.0.00
R29,あか,30.1.00,31.1.00,1.0.00
R30,かけ,31.1.00,32.1.00,1.0.00
R31,おか,32.1.00,33.1.00,1.0.00
R32,きお,33.1.00,34.1.00,1.0.00
R33,きおく,34.1.00,35.1.00,1.0.00
R34,あおい,35.1.00,36.1.00,1.0.00
R35,あいか,36.1.00,37.1.00,1.0.00
R36,いおう,37.1.00,38.1.00,1.0.00
R37,えいか,38.1.00,39.1.00,1.0.00
R38,いくえ,39.1.00,40.1.00,1.0.00
