#,name,start,end,length
R0,のう,1.1.00,2.1.00,1.0.00
R1,なか,2.1.00,3.1.00,1.0.00
R2,へい,3.1.00,4.1.00,1.0.00
R3,いぬ,4.1.00,5.1.00,1.0.00
R4,ふく,5.1.00,6.1.00,1.0.00
R5,たのしい,6.1.00,7.1.00,1.0.00
R6,ほね,7.1.00,8.1.00,1.0.00
R7,ねい,8.1.00,9.1.00,1.0.00
R8,ふし,9.1.00,10.1.00,1.0.00
R9,ねこ,10.1.00,11.1.00,1.0.00
R10,ひと,11.1.00,12.1.00,1.0.00
R11,なに,12.1.00,13.1.00,1.0.00
R12,はこ,13.1.00,14.1.00,1.0.00
R13,ほし,14.1.00,15.1.00,1.0.00
R14,さかな,15.1.00,16.1.00,1.0.00
R15,はおと,16.1.00,17.1.00,1.0.00
R16,ねつ,17.1.00,18.1.00,1.0.00
R17,ひこう,18.1.00,19.1.00,1.0.00
R18,にく,19.1.00,20.1.00,1.0.00
R19,ほうせき,20.1.00,21.1.00,1.0.00
R20,ふね,21.1.00,22.1.00,1.0.00
R21,におい,22.1.00,23.1.00,1.0.00
R22,ない,23.1.00,24.1.00,1.0.00
R23,はな,24.1.00,25.1.00,1.0.00
R24,はし,25.1.00,26.1.00,1.0.00
R25,ほそい,26.1.00,27.1.00,1.0.00
R26,ふうせん,27.1.00,28.1.00,1.0.00
R27,はた,28.1.00,29.1.00,1.0.00
R28,へた,29.1.00,30.1.00,1.0.00
R29,ふとい,30.1.00,31.1.00,1.0.00
R30,ぬの,31.1.00,32.1.00,1.0.00
