#,name,start,end,length
R0,やま,1.1.00,2.1.00,1.0.00
R1,まち,2.1.00,3.1.00,1.0.00
R2,まつ,3.1.00,4.1.00,1.0.00
R3,みみ,4.1.00,5.1.00,1.0.00
R4,ようふう,5.1.00,6.1.00,1.0.00
R5,ゆめ,6.1.00,7.1.00,1.0.00
R6,ゆき,7.1.00,8.1.00,1.0.00
R7,もも,8.1.00,9.1.00,1.0.00
R8,むね,9.1.00,10.1.00,1.0.00
R9,つめたい,10.1.00,11.1.00,1.0.00
R10,よむ,11.1.00,12.1.00,1.0.00
R11,みち,12.1.00,13.1.00,1.0.00
R12,むかし,13.1.00,14.1.00,1.0.00
R13,まめ,14.1.00,15.1.00,1.0.00
R14,やさしい,15.1.00,16.1.00,1.0.00
R15,みせ,16.1.00,17.1.00,1.0.00
R16,ゆうめい,17.1.00,18.1.00,1.0.00
R17,むし,18.1.00,19.1.00,1.0.00
R18,もし,19.1.00,20.1.00,1.0.00
R19,ようふく,20.1.00,21.1.00,1.0.00
R20,やすい,21.1.00,22.1.00,1.0.00
R21,やさい,22.1.00,23.1.00,1.0.00
R22,もち,23.1.00,24.1.00,1.0.00
R23,やくそく,24.1.00,25.1.00,1.0.00
R24,やすみ,25.1.00,26.1.00,1.0.00
