#,name,start,end,length
R0,りす,1.1.00,2.1.00,1.0.00
R1,しろ,2.1.00,3.1.00,1.0.00
R2,くるま,3.1.00,4.1.00,1.0.00
R3,かわ,4.1.00,5.1.00,1.0.00
R4,とり,5.1.00,6.1.00,1.0.00
R5,わたし,6.1.00,7.1.00,1.0.00
R6,さくら,7.1.00,8.1.00,1.0.00
R7,きれい,8.1.00,9.1.00,1.0.00
R8,かれ,9.1.00,10.1.00,1.0.00
R9,はる,10.1.00,11.1.00,1.0.00
R10,ふるい,11.1.00,12.1.00,1.0.00
R11,くろい,12.1.00,13.1.00,1.0.00
R12,ろうそく,13.1.00,14.1.00,1.0.00
R13,おりる,14.1.00,15.1.00,1.0.00
R14,ほん,15.1.00,16.1.00,1.0.00
R15,のり,16.1.00,17.1.00,1.0.00
R16,わらう,17.1.00,18.1.00,1.0.00
R17,うれしい,18.1.00,19.1.00,1.0.00
R18,おさら,19.1.00,20.1.00,1.0.00
R19,われる,20.1.00,21.1.00,1.0.00
R20,らく,21.1.00,22.1.00,1.0.00
R21,そら,22.1.00,23.1.00,1.0.00
R22,こわい,23.1.00,24.1.00,1.0.00
R23,あらう,24.1.00,25.1.00,1.0.00
R24,たろう,25.1.00,26.1.00,1.0.00
R25,わすれる,26.1.00,27.1.00,1.0.00
R26,ひろい,27.1.00,28.1.00,1.0.00
