#,name,start,end,length
R0,げき,1.1.00,2.1.00,1.0.00
R1,ぎもん,2.1.00,3.1.00,1.0.00
R2,じんじゃ,3.1.00,4.1.00,1.0.00
R3,かいが,4.1.00,5.1.00,1.0.00
R4,げんきん,5.1.00,6.1.00,1.0.00
R5,ざせき,6.1.00,7.1.00,1.0.00
R6,がく,7.1.00,8.1.00,1.0.00
R7,いぜん,8.1.00,9.1.00,1.0.00
R8,がいこく,9.1.00,10.1.00,1.0.00
R9,あいさつ,10.1.00,11.1.00,1.0.00
R10,ぞく,11.1.00,12.1.00,1.0.00
R11,かぜ,12.1.00,13.1.00,1.0.00
R12,かがみ,13.1.00,14.1.00,1.0.00
R13,すず,14.1.00,15.1.00,1.0.00
R14,じかん,15.1.00,16.1.00,1.0.00
R15,げんご,16.1.00,17.1.00,1.0.00
R16,ごはん,17.1.00,18.1.00,1.0.00
R17,みず,18.1.00,19.1.00,1.0.00
R18,ぎんこう,19.1.00,20.1.00,1.0.00
R19,ぜんぶ,20.1.00,21.1.00,1.0.00
R20,つづく,21.1.00,22.1.00,1.0.00
R21,ごうかく,22.1.00,23.1.00,1.0.00
R22,ぞう,23.1.00,24.1.00,1.0.00
R23,げんき,24.1.00,25.1.00,1.0.00
R24,ごご,25.1.00,26.1.00,1.0.00
