#,name,start,end,length
R0,ばけもの,1.1.00,2.1.00,1.0.00
R1,ぶた,2.1.00,3.1.00,1.0.00
R2,ばくはつ,3.1.00,4.1.00,1.0.00
R3,だんせい,4.1.00,5.1.00,1.0.00
R4,どくしん,5.1.00,6.1.00,1.0.00
R5,だいきらい,6.1.00,7.1.00,1.0.00
R6,どうぶつ,7.1.00,8.1.00,1.0.00
R7,ぶんがく,8.1.00,9.1.00,1.0.00
R8,でんき,9.1.00,10.1.00,1.0.00
R9,おべんとう,10.1.00,11.1.00,1.0.00
R10,でぐち,11.1.00,12.1.00,1.0.00
R11,だいすき,12.1.00,13.1.00,1.0.00
R12,でんわ,13.1.00,14.1.00,1.0.00
R13,だいがく,14.1.00,15.1.00,1.0.00
R14,びん,15.1.00,16.1.00,1.0.00
R15,ぶんか,16.1.00,17.1.00,1.0.00
R16,ぶんけい,17.1.00,18.1.00,1.0.00
R17,おばあさん,18.1.00,19.1.00,1.0.00
R18,ぼうし,19.1.00,20.1.00,1.0.00
R19,どようび,20.1.00,21.1.00,1.0.00
R20,たべもの,21.1.00,22.1.00,1.0.00
