#,name,start,end,length
R0,ぱ,1.1.00,2.1.00,1.0.00
R1,ぴ,2.1.00,3.1.00,1.0.00
R2,ぷ,3.1.00,4.1.00,1.0.00
R3,ぺ,4.1.00,5.1.00,1.0.00
R4,ぽ,5.1.00,6.1.00,1.0.00
R5,かんぱい,6.1.00,7.1.00,1.0.00
R6,しんぴん,7.1.00,8.1.00,1.0.00
R7,てんぷら,8.1.00,9.1.00,1.0.00
R8,かんぺき,9.1.00,10.1.00,1.0.00
R9,ぺこぺこ,10.1.00,11.1.00,1.0.00
R10,ぺらぺら,11.1.00,12.1.00,1.0.00
R11,ぽかぽか,12.1.00,13.1.00,1.0.00
R12,しんぱい,13.1.00,14.1.00,1.0.00
R13,はんぱ,14.1.00,15.1.00,1.0.00
R14,ぱちぱち,15.1.00,16.1.00,1.0.00
R15,ぽつぽつ,16.1.00,17.1.00,1.0.00
R16,ぽんぽん,17.1.00,18.1.00,1.0.00
R17,ぽんかん,18.1.00,19.1.00,1.0.00
R18,ぱりぱり,19.1.00,20.1.00,1.0.00
R19,はんぺん,20.1.00,21.1.00,1.0.00
