#,Name,Start,End,Length
R1,あい,1.1.00,2.1.00,1.0.00
R2,いか,2.1.00,3.1.00,1.0.00
R3,あお,3.1.00,4.1.00,1.0.00
R4,おい,4.1.00,5.1.00,1.0.00
R5,かお,5.1.00,6.1.00,1.0.00
R6,ここ,6.1.00,7.1.00,1.0.00
R7,あう,7.1.00,8.1.00,1.0.00
R8,いけ,8.1.00,9.1.00,1.0.00
R9,うき,9.1.00,10.1.00,1.0.00
R10,おう,10.1.00,11.1.00,1.0.00
R11,かう,11.1.00,12.1.00,1.0.00
R12,いく,12.1.00,13.1.00,1.0.00
R13,きく,13.1.00,14.1.00,1.0.00
R14,うえ,14.1.00,15.1.00,1.0.00
R15,いえ,15.1.00,16.1.00,1.0.00
R16,かい,16.1.00,17.1.00,1.0.00
R17,けい,17.1.00,18.1.00,1.0.00
R18,いき,18.1.00,19.1.00,1.0.00
R19,おく,19.1.00,20.1.00,1.0.00
R20,あか,20.1.00,21.1.00,1.0.00
R21,かけ,21.1.00,22.1.00,1.0.00
R22,おか,22.1.00,23.1.00,1.0.00
R23,きお,23.1.00,24.1.00,1.0.00
R24,きおく,24.1.00,25.1.00,1.0.00
R25,あおい,25.1.00,26.1.00,1.0.00
R26,あいか,26.1.00,27.1.00,1.0.00
R27,いおう,27.1.00,28.1.00,1.0.00
R28,えいか,28.1.00,29.1.00,1.0.00
R29,いくえ,29.1.00,30.1.00,1.0.00
R30,かおい,30.1.00,31.1.00,1.0.00
