#,Name,Start,End,Length
R1,がく,1.1.00,2.1.00,1.0.00
R2,がいこく,2.1.00,3.1.00,1.0.00
R3,かぜ,3.1.00,4.1.00,1.0.00
R4,かがみ,4.1.00,5.1.00,1.0.00
R5,すず,5.1.00,6.1.00,1.0.00
R6,つづく,6.1.00,7.1.00,1.0.00
R7,げんき,7.1.00,8.1.00,1.0.00
R8,ぎんこう,8.1.00,9.1.00,1.0.00
R9,ぜんぶ,9.1.00,10.1.00,1.0.00
R10,ごご,10.1.00,11.1.00,1.0.00
R11,ごはん,11.1.00,12.1.00,1.0.00
R12,いぜん,12.1.00,13.1.00,1.0.00
R13,あいさつ,13.1.00,14.1.00,1.0.00
R14,みず,14.1.00,15.1.00,1.0.00
R15,かいが,15.1.00,16.1.00,1.0.00
R16,じかん,16.1.00,17.1.00,1.0.00
R17,ぞう,17.1.00,18.1.00,1.0.00
R18,ぞく,18.1.00,19.1.00,1.0.00
R19,げき,19.1.00,20.1.00,1.0.00
R20,ぎもん,20.1.00,21.1.00,1.0.00
R21,げんご,21.1.00,22.1.00,1.0.00
R22,じんじゃ,22.1.00,23.1.00,1.0.00
R23,ごうかく,23.1.00,24.1.00,1.0.00
R24,げんきん,24.1.00,25.1.00,1.0.00
R25,ざせき,25.1.00,26.1.00,1.0.00
R26,まじめ,26.1.00,27.1.00,1.0.00
