#,Name,Start,End,Length
R1,さけ,1.1.00,2.1.00,1.0.00
R2,した,2.1.00,3.1.00,1.0.00
R3,たち,3.1.00,4.1.00,1.0.00
R4,しお,4.1.00,5.1.00,1.0.00
R5,せかい,5.1.00,6.1.00,1.0.00
R6,きた,6.1.00,7.1.00,1.0.00
R7,つき,7.1.00,8.1.00,1.0.00
R8,ちいさい,8.1.00,9.1.00,1.0.00
R9,したい,9.1.00,10.1.00,1.0.00
R10,さか,10.1.00,11.1.00,1.0.00
R11,すし,11.1.00,12.1.00,1.0.00
R12,さつ,12.1.00,13.1.00,1.0.00
R13,すこし,13.1.00,14.1.00,1.0.00
R14,たけ,14.1.00,15.1.00,1.0.00
R15,たつ,15.1.00,16.1.00,1.0.00
R16,てつ,16.1.00,17.1.00,1.0.00
R17,ちかてつ,17.1.00,18.1.00,1.0.00
R18,そと,18.1.00,19.1.00,1.0.00
R19,うそ,19.1.00,20.1.00,1.0.00
R20,さて,20.1.00,21.1.00,1.0.00
R21,たく,21.1.00,22.1.00,1.0.00
R22,ささ,22.1.00,23.1.00,1.0.00
R23,たす,23.1.00,24.1.00,1.0.00
R24,とけい,24.1.00,25.1.00,1.0.00
R25,そこ,25.1.00,26.1.00,1.0.00
R26,ちかく,26.1.00,27.1.00,1.0.00
R27,すてき,27.1.00,28.1.00,1.0.00
R28,そしき,28.1.00,29.1.00,1.0.00
R29,せいかつ,29.1.00,30.1.00,1.0.00
R30,たおす,30.1.00,31.1.00,1.0.00
R31,かさ,31.1.00,32.1.00,1.0.00
R32,たかい,32.1.00,33.1.00,1.0.00
R33,おかし,33.1.00,34.1.00,1.0.00
R34,すいか,34.1.00,35.1.00,1.0.00
R35,ついたち,35.1.00,36.1.00,1.0.00
R36,せき,36.1.00,37.1.00,1.0.00
R37,おいし,37.1.00,38.1.00,1.0.00
R38,くち,38.1.00,39.1.00,1.0.00
