#,Name,Start,End,Length
R1,だいがく,1.1.00,2.1.00,1.0.00
R2,でんわ,2.1.00,3.1.00,1.0.00
R3,どうぶつ,3.1.00,4.1.00,1.0.00
R4,たべもの,4.1.00,5.1.00,1.0.00
R5,おばあさん,5.1.00,6.1.00,1.0.00
R6,ぶた,6.1.00,7.1.00,1.0.00
R7,でぐち,7.1.00,8.1.00,1.0.00
R8,どようび,8.1.00,9.1.00,1.0.00
R9,ぶんがく,9.1.00,10.1.00,1.0.00
R10,おべんとう,10.1.00,11.1.00,1.0.00
R11,だいすき,11.1.00,12.1.00,1.0.00
R12,ぼうし,12.1.00,13.1.00,1.0.00
R13,ばくはつ,13.1.00,14.1.00,1.0.00
R14,ばいばい,14.1.00,15.1.00,1.0.00
R15,だいきらい,15.1.00,16.1.00,1.0.00
R16,ぶんか,16.1.00,17.1.00,1.0.00
R17,びん,17.1.00,18.1.00,1.0.00
R18,ばけもの,18.1.00,19.1.00,1.0.00
R19,でんき,19.1.00,20.1.00,1.0.00
R20,どくしん,20.1.00,21.1.00,1.0.00
R21,ぶんけい,21.1.00,22.1.00,1.0.00
R22,だんせい,22.1.00,23.1.00,1.0.00
