#,Name,Start,End,Length
R1,なか,1.1.00,2.1.00,1.0.00
R2,なに,2.1.00,3.1.00,1.0.00
R3,はこ,3.1.00,4.1.00,1.0.00
R4,ほし,4.1.00,5.1.00,1.0.00
R5,にく,5.1.00,6.1.00,1.0.00
R6,ねこ,6.1.00,7.1.00,1.0.00
R7,ふね,7.1.00,8.1.00,1.0.00
R8,はい,8.1.00,9.1.00,1.0.00
R9,ふく,9.1.00,10.1.00,1.0.00
R10,ひこう,10.1.00,11.1.00,1.0.00
R11,ほね,11.1.00,12.1.00,1.0.00
R12,ない,12.1.00,13.1.00,1.0.00
R13,におい,13.1.00,14.1.00,1.0.00
R14,ぬの,14.1.00,15.1.00,1.0.00
R15,へい,15.1.00,16.1.00,1.0.00
R16,ひと,16.1.00,17.1.00,1.0.00
R17,ふし,17.1.00,18.1.00,1.0.00
R18,ねい,18.1.00,19.1.00,1.0.00
R19,はおと,19.1.00,20.1.00,1.0.00
R20,のう,20.1.00,21.1.00,1.0.00
R21,いぬ,21.1.00,22.1.00,1.0.00
R22,ねつ,22.1.00,23.1.00,1.0.00
R23,ふうせん,23.1.00,24.1.00,1.0.00
R24,はた,24.1.00,25.1.00,1.0.00
R25,はし,25.1.00,26.1.00,1.0.00
R26,ほうせき,26.1.00,27.1.00,1.0.00
R27,はな,27.1.00,28.1.00,1.0.00
R28,たのしい,28.1.00,29.1.00,1.0.00
R29,さかな,29.1.00,30.1.00,1.0.00
R30,へた,30.1.00,31.1.00,1.0.00
R31,ほそい,31.1.00,32.1.00,1.0.00
R32,ふとい,32.1.00,33.1.00,1.0.00
