#,Name,Start,End,Length
R1,まち,1.1.00,2.1.00,1.0.00
R2,まつ,2.1.00,3.1.00,1.0.00
R3,みみ,3.1.00,4.1.00,1.0.00
R4,むし,4.1.00,5.1.00,1.0.00
R5,やま,5.1.00,6.1.00,1.0.00
R6,ゆき,6.1.00,7.1.00,1.0.00
R7,ようふく,7.1.00,8.1.00,1.0.00
R8,やさい,8.1.00,9.1.00,1.0.00
R9,ゆうめい,9.1.00,10.1.00,1.0.00
R10,みせ,10.1.00,11.1.00,1.0.00
R11,むね,11.1.00,12.1.00,1.0.00
R12,ゆめ,12.1.00,13.1.00,1.0.00
R13,やくそく,13.1.00,14.1.00,1.0.00
R14,ようふう,14.1.00,15.1.00,1.0.00
R15,やさしい,15.1.00,16.1.00,1.0.00
R16,もも,16.1.00,17.1.00,1.0.00
R17,むかし,17.1.00,18.1.00,1.0.00
R18,みち,18.1.00,19.1.00,1.0.00
R19,まめ,19.1.00,20.1.00,1.0.00
R20,やすい,20.1.00,21.1.00,1.0.00
R21,やすみ,21.1.00,22.1.00,1.0.00
R22,よむ,22.1.00,23.1.00,1.0.00
R23,つめたい,23.1.00,24.1.00,1.0.00
R24,もち,24.1.00,25.1.00,1.0.00
R25,もし,25.1.00,26.1.00,1.0.00
