#,Name,Start,End,Length
R1,らく,1.1.00,2.1.00,1.0.00
R2,ろうそく,2.1.00,3.1.00,1.0.00
R3,さくら,3.1.00,4.1.00,1.0.00
R4,かわ,4.1.00,5.1.00,1.0.00
R5,おさら,5.1.00,6.1.00,1.0.00
R6,はる,6.1.00,7.1.00,1.0.00
R7,くるま,7.1.00,8.1.00,1.0.00
R8,しろ,8.1.00,9.1.00,1.0.00
R9,とり,9.1.00,10.1.00,1.0.00
R10,ほん,10.1.00,11.1.00,1.0.00
R11,かれ,11.1.00,12.1.00,1.0.00
R12,ふるい,12.1.00,13.1.00,1.0.00
R13,りす,13.1.00,14.1.00,1.0.00
R14,あらう,14.1.00,15.1.00,1.0.00
R15,たろう,15.1.00,16.1.00,1.0.00
R16,きれい,16.1.00,17.1.00,1.0.00
R17,そら,17.1.00,18.1.00,1.0.00
R18,のり,18.1.00,19.1.00,1.0.00
R19,くろい,19.1.00,20.1.00,1.0.00
R20,うれしい,20.1.00,21.1.00,1.0.00
R21,わたし,21.1.00,22.1.00,1.0.00
R22,わらう,22.1.00,23.1.00,1.0.00
R23,わすれる,23.1.00,24.1.00,1.0.00
R24,おりる,24.1.00,25.1.00,1.0.00
R25,われる,25.1.00,26.1.00,1.0.00
R26,ひろい,26.1.00,27.1.00,1.0.00
R26,こわい,27.1.00,28.1.00,1.0.00
