#,Name,Start,End,Length
R1,あ,1.1.00,2.1.00,1.0.00
R2,い,2.1.00,3.1.00,1.0.00
R3,う,3.1.00,4.1.00,1.0.00
R4,え,4.1.00,5.1.00,1.0.00
R5,お,5.1.00,6.1.00,1.0.00
R6,か,6.1.00,7.1.00,1.0.00
R7,き,7.1.00,8.1.00,1.0.00
R8,く,8.1.00,9.1.00,1.0.00
R9,け,9.1.00,10.1.00,1.0.00
R10,こ,10.1.00,11.1.00,1.0.00
R11,さ,11.1.00,12.1.00,1.0.00
R12,し,12.1.00,13.1.00,1.0.00
R13,す,13.1.00,14.1.00,1.0.00
R14,せ,14.1.00,15.1.00,1.0.00
R15,そ,15.1.00,16.1.00,1.0.00
R16,た,16.1.00,17.1.00,1.0.00
R17,ち,17.1.00,18.1.00,1.0.00
R18,つ,18.1.00,19.1.00,1.0.00
R19,て,19.1.00,20.1.00,1.0.00
R20,と,20.1.00,21.1.00,1.0.00
R21,な,21.1.00,22.1.00,1.0.00
R22,に,22.1.00,23.1.00,1.0.00
R23,ぬ,23.1.00,24.1.00,1.0.00
R24,ね,24.1.00,25.1.00,1.0.00
R25,の,25.1.00,26.1.00,1.0.00
R26,は,26.1.00,27.1.00,1.0.00
R27,ひ,27.1.00,28.1.00,1.0.00
R28,ふ,28.1.00,29.1.00,1.0.00
R29,へ,29.1.00,30.1.00,1.0.00
R30,ほ,30.1.00,31.1.00,1.0.00
R31,ま,31.1.00,32.1.00,1.0.00
R32,み,32.1.00,33.1.00,1.0.00
R33,む,33.1.00,34.1.00,1.0.00
R34,め,34.1.00,35.1.00,1.0.00
R35,も,35.1.00,36.1.00,1.0.00
R36,や,36.1.00,37.1.00,1.0.00
R37,ゆ,37.1.00,38.1.00,1.0.00
R38,よ,38.1.00,39.1.00,1.0.00
R39,ら,39.1.00,40.1.00,1.0.00
R40,り,40.1.00,41.1.00,1.0.00
R41,る,41.1.00,42.1.00,1.0.00
R42,れ,42.1.00,43.1.00,1.0.00
R43,ろ,43.1.00,44.1.00,1.0.00
R44,わ,44.1.00,45.1.00,1.0.00
R45,を,45.1.00,46.1.00,1.0.00
R46,ん,46.1.00,47.1.00,1.0.00
R47,が,47.1.00,48.1.00,1.0.00
R48,ぎ,48.1.00,49.1.00,1.0.00
R49,ぐ,49.1.00,40.1.00,1.0.00
R40,げ,50.1.00,51.1.00,1.0.00
R51,ご,51.1.00,52.1.00,1.0.00
R52,ざ,52.1.00,53.1.00,1.0.00
R53,じ,53.1.00,54.1.00,1.0.00
R54,ず,54.1.00,55.1.00,1.0.00
R55,ぜ,55.1.00,56.1.00,1.0.00
R56,ぞ,56.1.00,57.1.00,1.0.00
R57,だ,57.1.00,58.1.00,1.0.00
R58,ぢ,58.1.00,59.1.00,1.0.00
R59,づ,59.1.00,60.1.00,1.0.00
R60,で,60.1.00,61.1.00,1.0.00
R61,ど,61.1.00,62.1.00,1.0.00
R62,ば,62.1.00,63.1.00,1.0.00
R63,び,63.1.00,64.1.00,1.0.00
R64,ぶ,64.1.00,65.1.00,1.0.00
R65,べ,65.1.00,66.1.00,1.0.00
R66,ぼ,66.1.00,67.1.00,1.0.00
R67,ぱ,67.1.00,68.1.00,1.0.00
R68,ぴ,68.1.00,69.1.00,1.0.00
R69,ぷ,69.1.00,70.1.00,1.0.00
R70,ぺ,70.1.00,71.1.00,1.0.00
R71,ぽ,71.1.00,72.1.00,1.0.00
