#,name,start,end,length
R0,さ,1.1.00,2.1.00,1.0.00
R1,し,2.1.00,3.1.00,1.0.00
R2,す,3.1.00,4.1.00,1.0.00
R3,せ,4.1.00,5.1.00,1.0.00
R4,そ,5.1.00,6.1.00,1.0.00
R5,た,6.1.00,7.1.00,1.0.00
R6,ち,7.1.00,8.1.00,1.0.00
R7,つ,8.1.00,9.1.00,1.0.00
R8,て,9.1.00,10.1.00,1.0.00
R9,と,10.1.00,11.1.00,1.0.00
R10,さけ,11.1.00,12.1.00,1.0.00
R11,した,12.1.00,13.1.00,1.0.00
R12,たち,13.1.00,14.1.00,1.0.00
R13,しお,14.1.00,15.1.00,1.0.00
R14,せかい,15.1.00,16.1.00,1.0.00
R15,きた,16.1.00,17.1.00,1.0.00
R16,つき,17.1.00,18.1.00,1.0.00
R17,ちいさい,18.1.00,19.1.00,1.0.00
R18,したい,19.1.00,20.1.00,1.0.00
R19,さか,20.1.00,21.1.00,1.0.00
R20,すし,21.1.00,22.1.00,1.0.00
R21,さつ,22.1.00,23.1.00,1.0.00
R22,すこし,23.1.00,24.1.00,1.0.00
R23,たけ,24.1.00,25.1.00,1.0.00
R24,たつ,25.1.00,26.1.00,1.0.00
R25,てつ,26.1.00,27.1.00,1.0.00
R26,ちかてつ,27.1.00,28.1.00,1.0.00
R27,そと,28.1.00,29.1.00,1.0.00
R28,うそ,29.1.00,30.1.00,1.0.00
R29,さて,30.1.00,31.1.00,1.0.00
R30,たく,31.1.00,32.1.00,1.0.00
R31,ささ,32.1.00,33.1.00,1.0.00
R32,たす,33.1.00,34.1.00,1.0.00
R33,とけい,34.1.00,35.1.00,1.0.00
R34,そこ,35.1.00,36.1.00,1.0.00
R35,ちかく,36.1.00,37.1.00,1.0.00
R36,すてき,37.1.00,38.1.00,1.0.00
R37,そしき,38.1.00,39.1.00,1.0.00
R38,せいかつ,39.1.00,40.1.00,1.0.00
R39,たおす,40.1.00,41.1.00,1.0.00
R40,かさ,41.1.00,42.1.00,1.0.00
R41,たかい,42.1.00,43.1.00,1.0.00
R42,おかし,43.1.00,44.1.00,1.0.00
R43,すいか,44.1.00,45.1.00,1.0.00
R44,ついたち,45.1.00,46.1.00,1.0.00
R45,せき,46.1.00,47.1.00,1.0.00
R46,おいし,47.1.00,48.1.00,1.0.00
R47,くち,48.1.00,49.1.00,1.0.00
