#,name,start,end,length
R0,が,1.1.00,2.1.00,1.0.00
R1,ぎ,2.1.00,3.1.00,1.0.00
R2,ぐ,3.1.00,4.1.00,1.0.00
R3,げ,4.1.00,5.1.00,1.0.00
R4,ご,5.1.00,6.1.00,1.0.00
R5,ざ,6.1.00,7.1.00,1.0.00
R6,じ,7.1.00,8.1.00,1.0.00
R7,ず,8.1.00,9.1.00,1.0.00
R8,ぜ,9.1.00,10.1.00,1.0.00
R9,ぞ,10.1.00,11.1.00,1.0.00
R10,がく,11.1.00,12.1.00,1.0.00
R11,がいこく,12.1.00,13.1.00,1.0.00
R12,かぜ,13.1.00,14.1.00,1.0.00
R13,かがみ,14.1.00,15.1.00,1.0.00
R14,すず,15.1.00,16.1.00,1.0.00
R15,つづく,16.1.00,17.1.00,1.0.00
R16,げんき,17.1.00,18.1.00,1.0.00
R17,ぎんこう,18.1.00,19.1.00,1.0.00
R18,ぜんぶ,19.1.00,20.1.00,1.0.00
R19,ごご,20.1.00,21.1.00,1.0.00
R20,ごはん,21.1.00,22.1.00,1.0.00
R21,いぜん,22.1.00,23.1.00,1.0.00
R22,あいさつ,23.1.00,24.1.00,1.0.00
R23,みず,24.1.00,25.1.00,1.0.00
R24,かいが,25.1.00,26.1.00,1.0.00
R25,じかん,26.1.00,27.1.00,1.0.00
R26,ぞう,27.1.00,28.1.00,1.0.00
R27,ぞく,28.1.00,29.1.00,1.0.00
R28,げき,29.1.00,30.1.00,1.0.00
R29,ぎもん,30.1.00,31.1.00,1.0.00
R30,げんご,31.1.00,32.1.00,1.0.00
R31,じんじゃ,32.1.00,33.1.00,1.0.00
R32,ごうかく,33.1.00,34.1.00,1.0.00
R33,げんきん,34.1.00,35.1.00,1.0.00
R34,ざせき,35.1.00,36.1.00,1.0.00
R35,まじめ,36.1.00,37.1.00,1.0.00
