#,name,start,end,length
R0,だ,1.1.00,2.1.00,1.0.00
R1,ぢ,2.1.00,3.1.00,1.0.00
R2,づ,3.1.00,4.1.00,1.0.00
R3,で,4.1.00,5.1.00,1.0.00
R4,ど,5.1.00,6.1.00,1.0.00
R5,ば,6.1.00,7.1.00,1.0.00
R6,び,7.1.00,8.1.00,1.0.00
R7,ぶ,8.1.00,9.1.00,1.0.00
R8,べ,9.1.00,10.1.00,1.0.00
R9,ぼ,10.1.00,11.1.00,1.0.00
R10,だいがく,11.1.00,12.1.00,1.0.00
R11,でんわ,12.1.00,13.1.00,1.0.00
R12,どうぶつ,13.1.00,14.1.00,1.0.00
R13,たべもの,14.1.00,15.1.00,1.0.00
R14,おばあさん,15.1.00,16.1.00,1.0.00
R15,ぶた,16.1.00,17.1.00,1.0.00
R16,でぐち,17.1.00,18.1.00,1.0.00
R17,どようび,18.1.00,19.1.00,1.0.00
R18,ぶんがく,19.1.00,20.1.00,1.0.00
R19,おべんとう,20.1.00,21.1.00,1.0.00
R20,だいすき,21.1.00,22.1.00,1.0.00
R21,ぼうし,22.1.00,23.1.00,1.0.00
R22,ばくはつ,23.1.00,24.1.00,1.0.00
R23,ばいばい,24.1.00,25.1.00,1.0.00
R24,だいきらい,25.1.00,26.1.00,1.0.00
R25,ぶんか,26.1.00,27.1.00,1.0.00
R26,びん,27.1.00,28.1.00,1.0.00
R27,ばけもの,28.1.00,29.1.00,1.0.00
R28,でんき,29.1.00,30.1.00,1.0.00
R29,どくしん,30.1.00,31.1.00,1.0.00
R30,ぶんけい,31.1.00,32.1.00,1.0.00
R31,だんせい,32.1.00,33.1.00,1.0.00
