#,name,start,end,length
R0,フシギダネ,1.1.00,2.1.00,1.0.00
R1,フシギソウ,2.1.00,3.1.00,1.0.00
R2,フシギバナ,3.1.00,4.1.00,1.0.00
R3,ヒトカゲ,4.1.00,5.1.00,1.0.00
R4,リザード,5.1.00,6.1.00,1.0.00
R5,リザードン,6.1.00,7.1.00,1.0.00
R6,ゼニガメ,7.1.00,8.1.00,1.0.00
R7,カメール,8.1.00,9.1.00,1.0.00
R8,カメックス,9.1.00,10.1.00,1.0.00
R9,キャタピー,10.1.00,11.1.00,1.0.00
R10,トランセル,11.1.00,12.1.00,1.0.00
R11,バタフリー,12.1.00,13.1.00,1.0.00
R12,ビードル,13.1.00,14.1.00,1.0.00
R13,コクーン,14.1.00,15.1.00,1.0.00
R14,スピアー,15.1.00,16.1.00,1.0.00
R15,ポッポ,16.1.00,17.1.00,1.0.00
R16,ピジョン,17.1.00,18.1.00,1.0.00
R17,ピジョット,18.1.00,19.1.00,1.0.00
R18,コラッタ,19.1.00,20.1.00,1.0.00
R19,ラッタ,20.1.00,21.1.00,1.0.00
R20,オニスズメ,21.1.00,22.1.00,1.0.00
R21,オニドリル,22.1.00,23.1.00,1.0.00
R22,アーボ,23.1.00,24.1.00,1.0.00
R23,アーボック,24.1.00,25.1.00,1.0.00
R24,ピカチュウ,25.1.00,26.1.00,1.0.00
R25,ライチュウ,26.1.00,27.1.00,1.0.00
R26,サンド,27.1.00,28.1.00,1.0.00
R27,サンドパン,28.1.00,29.1.00,1.0.00
R28,ニドラン♀,29.1.00,30.1.00,1.0.00
R29,ニドリーナ,30.1.00,31.1.00,1.0.00
R30,ニドクイン,31.1.00,32.1.00,1.0.00
R31,ニドラン♂,32.1.00,33.1.00,1.0.00
R32,ニドリーノ,33.1.00,34.1.00,1.0.00
R33,ニドキング,34.1.00,35.1.00,1.0.00
R34,ピッピ,35.1.00,36.1.00,1.0.00
R35,ピクシー,36.1.00,37.1.00,1.0.00
R36,ロコン,37.1.00,38.1.00,1.0.00
R37,キュウコン,38.1.00,39.1.00,1.0.00
R38,プリン,39.1.00,40.1.00,1.0.00
R39,プクリン,40.1.00,41.1.00,1.0.00
R40,ズバット,41.1.00,42.1.00,1.0.00
R41,ゴルバット,42.1.00,43.1.00,1.0.00
R42,ナゾノクサ,43.1.00,44.1.00,1.0.00
R43,クサイハナ,44.1.00,45.1.00,1.0.00
R44,ラフレシア,45.1.00,46.1.00,1.0.00
R45,パラス,46.1.00,47.1.00,1.0.00
R46,パラセクト,47.1.00,48.1.00,1.0.00
R47,コンパン,48.1.00,49.1.00,1.0.00
R48,モルフォン,49.1.00,50.1.00,1.0.00
R49,ディグダ,50.1.00,51.1.00,1.0.00
R50,ダグトリオ,51.1.00,52.1.00,1.0.00
R51,ニャース,52.1.00,53.1.00,1.0.00
R52,ペルシアン,53.1.00,54.1.00,1.0.00
R53,コダック,54.1.00,55.1.00,1.0.00
R54,ゴルダック,55.1.00,56.1.00,1.0.00
R55,マンキー,56.1.00,57.1.00,1.0.00
R56,オコリザル,57.1.00,58.1.00,1.0.00
R57,ガーディ,58.1.00,59.1.00,1.0.00
R58,ウインディ,59.1.00,60.1.00,1.0.00
R59,ニョロモ,60.1.00,61.1.00,1.0.00
R60,ニョロゾ,61.1.00,62.1.00,1.0.00
R61,ニョロボン,62.1.00,63.1.00,1.0.00
R62,ケーシィ,63.1.00,64.1.00,1.0.00
R63,ユンゲラー,64.1.00,65.1.00,1.0.00
R64,フーディン,65.1.00,66.1.00,1.0.00
R65,ワンリキー,66.1.00,67.1.00,1.0.00
R66,ゴーリキー,67.1.00,68.1.00,1.0.00
R67,カイリキー,68.1.00,69.1.00,1.0.00
R68,マダツボミ,69.1.00,70.1.00,1.0.00
R69,ウツドン,70.1.00,71.1.00,1.0.00
R70,ウツボット,71.1.00,72.1.00,1.0.00
R71,メノクラゲ,72.1.00,73.1.00,1.0.00
R72,ドククラゲ,73.1.00,74.1.00,1.0.00
R73,イシツブテ,74.1.00,75.1.00,1.0.00
R74,ゴローン,75.1.00,76.1.00,1.0.00
R75,ゴローニャ,76.1.00,77.1.00,1.0.00
R76,ポニータ,77.1.00,78.1.00,1.0.00
R77,ギャロップ,78.1.00,79.1.00,1.0.00
R78,ヤドン,79.1.00,80.1.00,1.0.00
R79,ヤドラン,80.1.00,81.1.00,1.0.00
R80,コイル,81.1.00,82.1.00,1.0.00
R81,レアコイル,82.1.00,83.1.00,1.0.00
